beername,calorie,sodium,alcohol,cost
 Budweiser,144,19,4.7,.43
 Schlitz,181,19,4.9,.43
 Ionenbrau,157,15,4.9,.48
 Kronensourc,170,7,5.2,.73
 Heineken,152,11,5,.77
 Old-milnaukee,145,23,4.6,.26
 Aucsberger,175,24,5.5,.4
 Strchs-bohemi,149,27,4.7,.42
 Miller-lite,99,10,4.3,.43
 Sudeiser-lich,113,6,3.7,.44
 Coors,140,16,4.6,.44
 Coorslicht,102,15,4.1,.46
 Michelos-lich,135,11,4.2,.5
 Secrs,150,19,4.7,.76
 Kkirin,149,6,5,.79
 Pabst-extra-l,68,15,2.3,.36
 Hamms,136,19,4.4,.43
 Heilemans-old,144,24,4.9,.43
 Olympia-gold-,72,6,2.9,.46
 Schlite-light,97,7,4.2,.47
